gdp_2018_wb,source_iso_code,source_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,ets_23_usd_recon,ets_30_usd_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,ets_23_pct_gdp,ets_30_pct_gdp,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
3188601035.1907,234,Faroe Islands,130118014.939,283126830.959,130118014.939,283126830.959,23.47148727239152,1773.9382926141338,0.0,425745.1902273922,738870.7872136115,684844.0205783353,653757.8365485868,625800.4169703572,738870.7872136115,807451.3362856372,1085316.9646503257,1143612.047596427,100.0,100.0,0.0,0.01335,0.0,122607.31570730195,431559.12810173887,517811.63062606973,0.02317,0.02148,0.0205,0.01963,0.02317,0.02532,0.03404,0.03587,0.0,0.00385,0.01353,0.01624
5581425890.96651,242,Fiji,474446075.545,306752026.442,474446075.545,306752026.44200003,154.86224989312495,11970.696239197272,0.0,0.0,5270796.585878698,4846984.783185449,4638933.042322998,4369403.756376761,5270796.585878698,5871987.306675022,8358908.092987704,8738732.9890841,100.0,100.0,0.0,0.0,0.0,1025002.5234895721,3719975.050664706,4369329.232707339,0.09443,0.08684,0.08311,0.07828,0.09443,0.10521,0.14976,0.15657,0.0,0.01836,0.06665,0.07828
275708001767.838,246,Finland,16504135625.119999,17771208758.005,16504135625.119999,17771208758.005,3689.8123123640657,278077.15224486584,0.0,60157967.27477428,136737999.71455595,130515371.7035437,121186962.71171708,117686896.23961224,136737999.71455595,149053287.4878582,188721615.58299407,199367140.30781546,100.0,100.0,0.0,0.02182,0.0,18537915.784314513,67534652.87127699,81680244.06820323,0.0496,0.04734,0.04395,0.04269,0.0496,0.05406,0.06845,0.07231,0.0,0.00672,0.02449,0.02963
2790956878746.61,250,France,81616419343.542,165503476370.326,81616419343.542,165503476370.326,10265.269390822003,784773.8630644395,0.0,143330113.49515787,425646772.7449478,406101704.08691716,372199468.5096248,359943229.7428997,425646772.7449478,465056666.7796556,576506889.1713535,607162606.4293107,100.0,100.0,0.0,0.00514,0.0,58954962.692738414,204307420.66172868,247219376.68641096,0.01525,0.01455,0.01334,0.0129,0.01525,0.01666,0.02066,0.02175,0.0,0.00211,0.00732,0.00886
6135116260.64814,258,French Polynesia,11511703.066,24154161.831,11511703.066,24154161.830999997,3.7279629200719353,287.75747967409603,0.0,0.0,202239.93285434804,186682.3533908957,179913.4676897729,176938.60091930916,202239.93285434804,229494.82467425612,304466.3530118169,320114.61383970117,100.0,100.0,0.0,0.0,0.0,42812.47128336041,124552.88532204402,143176.012920392,0.0033,0.00304,0.00293,0.00288,0.0033,0.00374,0.00496,0.00522,0.0,0.0007,0.00203,0.00233
2913466732.12507,262,Djibouti,14573708.639,8960801.427,14573708.639,8960801.427000001,2.285672353050962,176.85873972774266,0.0,4.545133782012455,93431.13105142297,88343.3985740453,76997.81446230772,75456.97743365404,93431.13105142297,104318.45482392398,131304.23960925185,140155.01063752323,100.0,100.0,0.0,0.0,0.0,15975.056249878675,54306.42514694412,64698.033203869185,0.00321,0.00303,0.00264,0.00259,0.00321,0.00358,0.00451,0.00481,0.0,0.00055,0.00186,0.00222
16867326389.8696,266,Gabon,4702957936.706,1902108746.129,4702957936.706,1902108746.129,889.2706182129679,68792.83492694197,0.0,1880798.154978371,50340849.743133955,51795022.578999855,42542152.83239923,42075020.766673625,50340849.743133955,59709871.26929135,68489220.62937577,72335187.41895168,100.0,100.0,0.0,0.01115,0.0,7914848.690291494,25947067.796976544,30260166.65227805,0.29845,0.30707,0.25222,0.24945,0.29845,0.354,0.40605,0.42885,0.0,0.04692,0.15383,0.1794
17596922469.9152,268,Georgia,646491161.685,413398822.64,646491161.685,413398822.64,59.71360637479401,4567.812883533171,0.0,399432.4607582003,2589994.485301123,2523555.7119328454,2282968.585876312,2236200.784003815,2589994.485301123,2835310.3783697905,3448142.9357754528,3672153.6112783696,100.0,100.0,0.0,0.00227,0.0,311754.6664369451,1165174.3498991407,1435952.8272745544,0.01472,0.01434,0.01297,0.01271,0.01472,0.01611,0.0196,0.02087,0.0,0.00177,0.00662,0.00816
1670671340.37966,270,Gambia,10716153.665,12159064.34,10716153.665,12159064.34,1.0740760333821062,81.63855776306714,0.0,1062.5559916206844,21556.18628616025,20808.42305152187,18964.174484434105,18646.162675957134,21556.18628616025,23608.66112341601,29769.98030940563,31836.419710499522,100.0,100.0,0.0,6e-05,0.0,2800.2380718941386,10805.805824971525,13190.257034542388,0.00129,0.00125,0.00114,0.00112,0.00129,0.00141,0.00178,0.00191,0.0,0.00017,0.00065,0.00079
3974443355019.53,276,Germany,154021174348.846,436344967042.95703,154021174348.846,436344967042.95703,28000.50418772963,2137306.6295120325,0.0,396336919.6435115,1105001712.4083326,1057822031.4847234,1006589995.7468745,993814750.0323628,1105001712.4083326,1216683412.9321156,1551871072.3343382,1633823093.3551612,100.0,100.0,0.0,0.00997,0.0,158861381.4473921,545281076.5874637,640008343.3227984,0.0278,0.02662,0.02533,0.02501,0.0278,0.03061,0.03905,0.04111,0.0,0.004,0.01372,0.0161
67298913752.0241,288,Ghana,5735882129.04,2427015764.125,5735882129.04,2427015764.125,1457.7632306194153,112529.42445281659,0.0,5314861.759169953,58830631.8806708,57927457.811594054,49988135.224221095,48341508.035204604,58830631.8806708,65736876.31267852,80108026.57321881,84426866.79583773,100.0,100.0,0.0,0.0079,0.0,7809418.501084469,30119891.348997712,36085358.760633126,0.08742,0.08607,0.07428,0.07183,0.08742,0.09768,0.11903,0.12545,0.0,0.0116,0.04476,0.05362
,292,Gibraltar,106751989.53400001,101769971.53299999,106751989.53400001,101769971.53299999,12.972295302209174,996.4891588012727,0.0,237775.58640174245,565031.3524314342,547779.3747366214,485168.6090150754,474507.2330570994,565031.3524314342,611827.5308957961,743442.4998418245,789736.6316280364,100.0,100.0,,,0.0,64048.156159174745,258273.89082674915,315229.398570937,,,,,,,,,,,,
196501504.185186,296,Kiribati,2652.923,14292.507000000001,2652.923,14292.507000000001,0.0007661549293146133,0.0589865738724927,0.0,0.0,26.07584764362764,24.083843859990484,23.450506351190757,22.866020700477016,26.07584764362764,29.23067297619773,39.26063006097123,41.29342905096059,100.0,100.0,0.0,0.0,0.0,5.146829116207247,15.810123709780473,18.427408350483574,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,2e-05,0.0,0.0,1e-05,1e-05
