gdp_2018_wb,dest_iso_code,dest_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,ets_23_usd_recon,ets_30_usd_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,ets_23_pct_gdp,ets_30_pct_gdp,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
421739210176.152,566,Nigeria,21405118575.349,24061479682.113,21405118575.349,24061479682.113,6691.7373713124125,516528.5687282226,0.0,40033269.84917261,293535752.37516934,280519876.03612554,255995964.42552757,248184632.4739492,293535752.37516934,308821587.8047147,395962404.41694754,416251182.2526096,100.0,100.0,0.0,0.00949,0.0,28301711.76858914,139966439.99141997,168066549.77866042,0.0696,0.06652,0.0607,0.05885,0.0696,0.07323,0.09389,0.0987,0.0,0.00671,0.03319,0.03985
439788625883.8,578,Norway,14459431196.242,19775377156.225002,14459431196.242,19775377156.225,2540.0115941489557,192148.8529023022,0.0,38793580.187861755,115611890.0626846,109965029.26666655,101880805.65833317,99921704.29554653,115611890.0626846,124009146.4308613,152991618.6347563,162039719.64009503,100.0,100.0,0.0,0.00882,0.0,14044117.164194748,51110812.97642313,62118015.34454849,0.02629,0.025,0.02317,0.02272,0.02629,0.0282,0.03479,0.03684,0.0,0.00319,0.01162,0.01412
284900000.0,585,Palau,13788237.558,21622884.319999997,13788237.558,21622884.319999997,3.993022488828955,306.0184471066259,0.0,0.0,260710.91545478578,252502.1872936693,242804.27002615988,238518.13292245957,260710.91545478578,280742.3493823715,340400.48083681177,364196.70139504835,100.0,100.0,0.0,0.0,0.0,28240.16208870223,97596.21081065189,125678.56847258878,0.09151,0.08863,0.08522,0.08372,0.09151,0.09854,0.11948,0.12783,0.0,0.00991,0.03426,0.04411
356128167702.894,586,Pakistan,33673614717.897,17096892063.387999,33673614717.897,17096892063.387999,6913.279339768533,532772.7528775786,0.0,2706720.0707764686,298551625.69831437,288859148.88697785,262189946.34547442,255720513.1322075,298551625.69831437,326086301.15865844,402982823.2217598,424429200.48600286,100.0,100.0,0.0,0.00076,0.0,37227152.27168059,140792876.87628537,168708687.35379535,0.08383,0.08111,0.07362,0.07181,0.08383,0.09156,0.11316,0.11918,0.0,0.01045,0.03953,0.04737
67294169234.6291,591,Panama,4021325240.881,5864648593.416,4021325240.881,5864648593.416,1315.6488723382363,101695.43932627114,0.0,960034.78871383,43614690.03287169,41800129.6764767,36491645.74913377,35409518.99642518,43614690.03287169,48255726.26894882,61293791.609320626,65076484.119919,100.0,100.0,0.0,0.00143,0.0,6455596.592472121,24802145.860186853,29666965.12349382,0.06481,0.06212,0.05423,0.05262,0.06481,0.07171,0.09108,0.0967,0.0,0.00959,0.03686,0.04409
40225448651.3062,600,Paraguay,3971229889.226,3914475684.0569997,3971229889.226,3914475684.0569997,896.0768763421712,69204.23457679749,0.0,3070479.1543332203,41057193.7041426,40187970.464032464,35016746.30711709,33817798.24920033,41057193.7041426,44934980.06827665,54960089.25441775,57904458.34254385,100.0,100.0,0.0,0.00763,0.0,4747009.6042441875,19943342.947300658,24086660.09334352,0.10207,0.09991,0.08705,0.08407,0.10207,0.11171,0.13663,0.14395,0.0,0.0118,0.04958,0.05988
222597030191.041,604,Peru,30510492593.096,20960141354.273,30510492593.096,20960141354.273,7581.455412262557,585733.2138947565,0.0,4453752.738605971,344332655.08913136,340756205.7457731,298602713.0251121,292258964.0339021,344332655.08913136,386073865.85116607,469875274.6050028,495981125.5078134,100.0,100.0,0.0,0.002,0.0,45317660.10539299,171272561.57989073,203722161.4739113,0.15469,0.15308,0.13414,0.1313,0.15469,0.17344,0.21109,0.22282,0.0,0.02036,0.07694,0.09152
346841896890.489,608,Philippines,56150676491.946,41743610868.539,56150676491.946,41743610868.539,10972.111277161359,844717.6016735553,0.0,3035048.160767157,543688505.151114,529157690.8623823,477224857.0802895,463658110.7576219,543688505.151114,599159282.817851,737033081.328268,778879304.8557537,100.0,100.0,0.0,0.00088,0.0,70001591.95546865,259808224.24797857,315221194.0981318,0.15675,0.15256,0.13759,0.13368,0.15675,0.17275,0.2125,0.22456,0.0,0.02018,0.07491,0.09088
588779850763.487,616,Poland,58170497628.061005,58855683366.331,58170497628.061005,58855683366.331,5898.210105716959,444581.52521770605,0.0,99224414.30613159,215222134.36268705,208813575.3787799,186802575.43255222,182185822.53711864,215222134.36268705,234845543.48225087,288728986.6273074,306880086.951233,100.0,100.0,0.0,0.01685,0.0,26031968.10347098,101926411.1947552,124694264.41411439,0.03655,0.03547,0.03173,0.03094,0.03655,0.03989,0.04904,0.05212,0.0,0.00442,0.01731,0.02118
242313116577.963,620,Portugal,33241106235.006,16890330236.473,33241106235.006,16890330236.473,8603.914865373546,660862.5036389118,0.0,102136959.03972134,382704204.6132405,373130266.82165706,335247276.42683464,326107925.9797611,382704204.6132405,415697193.1962919,504110915.9585977,534115400.9337361,100.0,100.0,0.0,0.04215,0.0,42566926.37463486,168863639.53176308,208007474.95397496,0.15794,0.15399,0.13835,0.13458,0.15794,0.17155,0.20804,0.22042,0.0,0.01757,0.06969,0.08584
