,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
196,504,Morocco,008,Albania,16," Sausages, similar products of meat, meat offal & bloo",169046.017,65.0,"Morocco -  Sausages, similar products of meat, meat offal & bloo"
197,056,Belgium,008,Albania,20," Cucumbers,gherkins, prepared or preserved by vinegar",33315.86,64.8,"Belgium -  Cucumbers,gherkins, prepared or preserved by vinegar"
198,170,Colombia,008,Albania,09," Coffee, not roasted, not decaffeinated",183596.301,59.617674,"Colombia -  Coffee, not roasted, not decaffeinated"
199,724,Spain,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,99300.29,53.751,Spain -  Mineral and aerated waters not sweetened or flavoured
200,156,China,008,Albania,49," Brochures, leaflets and similar, in single sheets",294437.922,51.233839999999994,"China -  Brochures, leaflets and similar, in single sheets"
201,250,France,008,Albania,10, Durum wheat,96792.773,49.970699999999994,France -  Durum wheat
202,724,Spain,008,Albania,94," Seats, aircraft",172487.4,49.75904,"Spain -  Seats, aircraft"
203,380,Italy,008,Albania,86," Rail locomotives, externally electrically powered",37031.426,48.9816,"Italy -  Rail locomotives, externally electrically powered"
204,156,China,008,Albania,58," Woven pile fabric of wool or fine animal hair, w >30c",388307.04,48.83484,"China -  Woven pile fabric of wool or fine animal hair, w >30c"
205,528,Netherlands (Kingdom of the),008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",37716.018,48.0,"Netherlands (Kingdom of the) -  Animal or vegetable fertilizers, in packs >10 kg"
206,792,Türkiye,008,Albania,73, Sheet piling of iron or steel,52720.663,47.766,Türkiye -  Sheet piling of iron or steel
207,380,Italy,008,Albania,42," Saddlery and harness, of any material",1188663.759,46.94923,"Italy -  Saddlery and harness, of any material"
208,840,United States of America,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,218436.793,46.200472999999995,United States of America -  Polyethylene - specific gravity <0.94 in primary form
209,156,China,008,Albania,65," Hat-forms, etc of felt, not shaped, no formed brim",263121.316,45.81166,"China -  Hat-forms, etc of felt, not shaped, no formed brim"
210,056,Belgium,008,Albania,84, Nuclear reactors,44522.846,43.52,Belgium -  Nuclear reactors
211,724,Spain,008,Albania,64," Waterproof footwear (Wellingtons etc), metal toe cap",265139.923,43.40494,"Spain -  Waterproof footwear (Wellingtons etc), metal toe cap"
212,276,Germany,008,Albania,96," Worked ivory, articles of ivory",177428.667,42.99245,"Germany -  Worked ivory, articles of ivory"
213,380,Italy,008,Albania,66, Garden and similar umbrellas,47262.567,41.48652,Italy -  Garden and similar umbrellas
214,380,Italy,008,Albania,53," Flax fibre, raw or retted",1303836.216,41.06091000000001,"Italy -  Flax fibre, raw or retted"
215,056,Belgium,008,Albania,15," Lard, other pig fat and poultry fat, rendered",61736.876,39.981,"Belgium -  Lard, other pig fat and poultry fat, rendered"
216,156,China,008,Albania,91," Wrist-watch, precious metal, battery, with hands",118801.576,39.75232,"China -  Wrist-watch, precious metal, battery, with hands"
217,156,China,008,Albania,52," Cotton, not carded or combed",271335.449,37.43262,"China -  Cotton, not carded or combed"
218,050,Bangladesh,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",955169.774,36.70297,"Bangladesh -  Mens, boys overcoats, etc, of wool or hair, knit"
