,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
741,008,Albania,578,Norway,82, Spades and shovels,8449.13,0.013714,Norway -  Spades and shovels
742,008,Albania,840,United States of America,21," Coffee extracts, essences, concentrates, preparations",8431.791,0.744284,"United States of America -  Coffee extracts, essences, concentrates, preparations"
743,008,Albania,414,Kuwait,42," Saddlery and harness, of any material",8423.296,0.13526400000000002,"Kuwait -  Saddlery and harness, of any material"
744,008,Albania,784,United Arab Emirates,42," Saddlery and harness, of any material",8407.41,0.167443,"United Arab Emirates -  Saddlery and harness, of any material"
745,008,Albania,682,Saudi Arabia,73, Sheet piling of iron or steel,8394.92,14.089735000000001,Saudi Arabia -  Sheet piling of iron or steel
746,008,Albania,499,Montenegro,96," Worked ivory, articles of ivory",8369.803,4.0858,"Montenegro -  Worked ivory, articles of ivory"
747,008,Albania,036,Australia,44, Fuel wood,8285.908,1.495086,Australia -  Fuel wood
748,008,Albania,616,Poland,19," Infant foods of cereals, flour, starch or milk, retai",8194.108,3.650869,"Poland -  Infant foods of cereals, flour, starch or milk, retai"
749,008,Albania,156,China,84, Nuclear reactors,8145.897,1.7740509999999998,China -  Nuclear reactors
750,008,Albania,586,Pakistan,72," Pig iron, non-alloy, <0.5% phosphorus",8126.7,41.936057999999996,"Pakistan -  Pig iron, non-alloy, <0.5% phosphorus"
751,008,Albania,340,Honduras,64," Waterproof footwear (Wellingtons etc), metal toe cap",8092.006,0.34925,"Honduras -  Waterproof footwear (Wellingtons etc), metal toe cap"
752,008,Albania,818,Egypt,84, Nuclear reactors,8076.111,0.8211040000000001,Egypt -  Nuclear reactors
753,008,Albania,591,Panama,64," Waterproof footwear (Wellingtons etc), metal toe cap",7973.32,0.307258,"Panama -  Waterproof footwear (Wellingtons etc), metal toe cap"
754,008,Albania,804,Ukraine,12, Soya beans,7910.272,0.17126,Ukraine -  Soya beans
755,008,Albania,048,Bahrain,72," Pig iron, non-alloy, <0.5% phosphorus",7887.225,4.898899999999999,"Bahrain -  Pig iron, non-alloy, <0.5% phosphorus"
756,008,Albania,792,Türkiye,87, Pedestrian controlled tractors,7868.0,0.905,Türkiye -  Pedestrian controlled tractors
757,008,Albania,528,Netherlands (Kingdom of the),19," Infant foods of cereals, flour, starch or milk, retai",7843.879,0.46919099999999997,"Netherlands (Kingdom of the) -  Infant foods of cereals, flour, starch or milk, retai"
758,008,Albania,528,Netherlands (Kingdom of the),15," Lard, other pig fat and poultry fat, rendered",7780.74,1.0581310000000002,"Netherlands (Kingdom of the) -  Lard, other pig fat and poultry fat, rendered"
759,008,Albania,600,Paraguay,72," Pig iron, non-alloy, <0.5% phosphorus",7736.326,2.810163,"Paraguay -  Pig iron, non-alloy, <0.5% phosphorus"
760,008,Albania,578,Norway,61," Mens, boys overcoats, etc, of wool or hair, knit",7654.949,0.08654099999999999,"Norway -  Mens, boys overcoats, etc, of wool or hair, knit"
761,008,Albania,578,Norway,08," Coconuts, fresh or dried",7629.523,8.771073,"Norway -  Coconuts, fresh or dried"
762,008,Albania,784,United Arab Emirates,48, Newsprint,7628.622,0.721995,United Arab Emirates -  Newsprint
763,008,Albania,348,Hungary,63, Electric blankets of textile material,7628.511,2.770376,Hungary -  Electric blankets of textile material
764,008,Albania,702,Singapore,61," Mens, boys overcoats, etc, of wool or hair, knit",7607.678,0.211769,"Singapore -  Mens, boys overcoats, etc, of wool or hair, knit"
765,008,Albania,152,Chile,12, Soya beans,7514.474,1.101944,Chile -  Soya beans
766,008,Albania,376,Israel,94," Seats, aircraft",7502.477,1.435435,"Israel -  Seats, aircraft"
767,008,Albania,643,Russian Federation,94," Seats, aircraft",7268.07,0.7863600000000001,"Russian Federation -  Seats, aircraft"
768,008,Albania,156,China,79," Zinc, not alloyed, unwrought, >99% pure",7242.219,2.673661,"China -  Zinc, not alloyed, unwrought, >99% pure"
769,008,Albania,784,United Arab Emirates,68," Stone setts, curbstones, flagstones (except slate)",7229.008,1.042953,"United Arab Emirates -  Stone setts, curbstones, flagstones (except slate)"
770,008,Albania,344,"China, Hong Kong SAR",85, Electric motors of an output < 37.5 watts,7163.779,0.325403,"China, Hong Kong SAR -  Electric motors of an output < 37.5 watts"
771,008,Albania,376,Israel,85, Electric motors of an output < 37.5 watts,7103.811,0.663254,Israel -  Electric motors of an output < 37.5 watts
772,008,Albania,784,United Arab Emirates,44, Fuel wood,7033.545,4.2113320000000005,United Arab Emirates -  Fuel wood
773,008,Albania,410,"Korea, Republic of",42," Saddlery and harness, of any material",6978.325,0.165686,"Korea, Republic of -  Saddlery and harness, of any material"
774,008,Albania,360,Indonesia,48, Newsprint,6965.859,1.699306,Indonesia -  Newsprint
